Account_Number,Interaction_ID,Contact_Date,Time,NPS_Score,Overall_Experience,Self_Service_Channel_Used,Advisor_Role,Contact_Channel,Contact_Reason,Contact_Resolution,Issue_Resolved,Verbatims
,,,7 and 8 (Passives),0,,,Transfer,-0.444444444,,Web,-0.625,
,,,9 and 10 (Promoters),0,,,(blank),,,(blank),,
,,Change Plan,0-6 (Detractors),0,0%,,Grand Total,-1.106207243,,Grand Total,-1.054208126,
,,,7 and 8 (Passives),4,,,,,,,,
,,,9 and 10 (Promoters),0,,,Contact Resolution,Sum of NPS Score (Calculated),Average of Overall_Experience,,,
,,Disconnect,0-6 (Detractors),6,-46%,,Activate Device,86%,4.714285714,,,
,,,7 and 8 (Passives),7,,,Add Data,31%,3.230769231,,,
,,,9 and 10 (Promoters),0,,,Add Device,40%,3,,,
,,Explain Bill,0-6 (Detractors),0,33%,,Cancel Service,-100%,2.666666667,,,
,,,7 and 8 (Passives),4,,,Change Plan,0%,2,,,
,,,9 and 10 (Promoters),2,,,Disconnect,-46%,1,,,
,,Process Payment,0-6 (Detractors),9,-47%,,Explain Bill,33%,3.333333333,,,
,,,7 and 8 (Passives),10,,,Process Payment,-47%,4.526315789,,,
,,,9 and 10 (Promoters),0,,,Provide Info,-73%,2.545454545,,,
,,Provide Info,0-6 (Detractors),8,-73%,,Refund Account,10%,3.205128205,,,
,,,7 and 8 (Passives),3,,,Transfer,-44%,1,,,
,,,9 and 10 (Promoters),0,,,,,,,,
,,Refund Account,0-6 (Detractors),6,10%,,,,,,,
,,,7 and 8 (Passives),23,,,,,,,,
,,,9 and 10 (Promoters),10,,,,,,,,
,,Transfer,0-6 (Detractors),8,-44%,,,,,,,
,,,7 and 8 (Passives),10,,,,,,,,
,,,9 and 10 (Promoters),0,,,,,,,,
,,,,,,,,,,,,
,,Contact Reason,NPS Score (Raw),NPS Score Count,NPS Score (Calculated),,Contact Reason,Calculated NPS Score,Average of Overall_Experience,,,
,,Add Services,0-6 (Detractors),8,-3%,,Add Services,-3%,2.125,,,
,,,7 and 8 (Passives),25,,,Billing Dispute,-18%,3.058823529,,,
,,,9 and 10 (Promoters),7,,,Billing Question,30%,2.966666667,,,
,,Billing Question,0-6 (Detractors),3,30%,,Cancel Service,-75%,2.875,,,
,,,7 and 8 (Passives),15,,,Change Plan,17%,1.666666667,,,
,,,9 and 10 (Promoters),12,,,Device Question,63%,4.25,,,
,,Make a Payment,0-6 (Detractors),11,-52%,,Make a Payment,-52%,4.19047619,,,
,,,7 and 8 (Passives),10,,,Service Question,-62%,2.307692308,,,
,,,9 and 10 (Promoters),0,,,(blank),,,,,
,,Billing Dispute,0-6 (Detractors),3,-18%,,,,,,,
,,,7 and 8 (Passives),14,,,Contact Reason,Calculated NPS Score,,,,
,,,9 and 10 (Promoters),0,,,Add Services,-3%,,,,
,,Service Question,0-6 (Detractors),8,-62%,,Billing Dispute,-18%,,,,
,,,7 and 8 (Passives),5,,,Billing Question,30%,,,,
,,,9 and 10 (Promoters),0,,,Cancel Service,-75%,,,,
,,Cancel Service,0-6 (Detractors),6,-75%,,Change Plan,17%,,,,
,,,7 and 8 (Passives),2,,,Device Question,63%,,,,
,,,9 and 10 (Promoters),0,,,Make a Payment,-52%,,,,
,,Device Question,0-6 (Detractors),1,63%,,Service Question,-62%,,,,
,,,7 and 8 (Passives),1,,,,,,,,
,,,9 and 10 (Promoters),6,,,,,,,,
,,Change Plan,0-6 (Detractors),0,17%,,,,,,,
,,,7 and 8 (Passives),5,,,,,,,,
,,,9 and 10 (Promoters),1,,,,,,,,
,,,,,,,,,,,,
,,Overall Experience,NPS Score (Raw),NPS Score Count,NPS Score (Calculated),,Row Labels,Sum of NPS Score (Calculated),,,,
,,1.00,0-6 (Detractors),15,-41%,,1,-0.405405405,,,,
,,,7 and 8 (Passives),22,,,2,-0.421052632,,,,
,,,9 and 10 (Promoters),0,,,3,0.142857143,,,,
,,2.00,0-6 (Detractors),10,-42%,,4,-0.133333333,,,,
,,,7 and 8 (Passives),7,,,5,0.166666667,,,,
,,,9 and 10 (Promoters),2,,,(blank),,,,,
,,3.00,0-6 (Detractors),5,14%,,,,,,,
,,,7 and 8 (Passives),26,,,Overall Experience,Sum of NPS Score (Calculated),,,,
,,,9 and 10 (Promoters),11,,,1,-41%,,,,
,,4.00,0-6 (Detractors),3,-13%,,2,-42%,,,,
,,,7 and 8 (Passives),11,,,3,14%,,,,
,,,9 and 10 (Promoters),1,,,4,-13%,,,,
,,5.00,0-6 (Detractors),7,17%,,5,17%,,,,
,,,7 and 8 (Passives),11,,,,,,,,
,,,9 and 10 (Promoters),12,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
